DateCollected,Trap,Trt,Site,Year,O.Polydesmida,O.Callipodida,O.Chordeumatida,O.Julida,O.Spirobolida,O.Polyzoniidae,O.Isopoda,O.Collembola,Nitidulidae,Staphylinidae,Silphidae,Scarabaeidae,Trogidae,Geotrupidae,Elateridae,Histeridae,Phalacridae,Rhaphidophoridae,TotalDecomp
6/14/2023,1,2,1,2023,0,0,0,0,0,0,73,61,3,5,0,0,0,0,0,0,0,4,146
6/14/2023,2,3,2,2023,0,0,0,6,0,0,14,52,1,0,3,0,0,0,0,0,0,17,93
6/14/2023,3,3,2,2023,1,0,0,1,0,0,8,77,3,1,0,1,0,0,0,0,0,2,94
6/14/2023,4,2,1,2023,0,0,0,0,0,0,52,57,0,2,1,0,0,0,0,0,0,1,113
6/14/2023,5,1,3,2023,2,0,0,1,0,0,15,29,0,3,0,0,0,0,0,0,0,2,52
6/14/2023,6,1,3,2023,1,0,0,0,0,0,33,49,3,3,0,0,0,0,0,0,0,2,91
6/14/2023,7,2,4,2023,1,0,0,0,0,0,99,282,6,9,0,0,0,0,0,0,0,6,403
6/14/2023,8,2,4,2023,4,0,0,5,0,0,67,94,1,22,3,3,0,0,0,0,0,1,200
6/14/2023,9,1,5,2023,5,0,0,13,0,0,17,210,2,1,2,0,0,0,1,0,0,41,292
6/14/2023,10,1,5,2023,0,0,0,0,0,0,9,54,3,0,0,0,0,0,0,0,0,24,90
6/14/2023,11,1,6,2023,0,0,0,0,0,0,0,18,3,0,0,0,0,0,0,0,0,0,21
6/14/2023,12,1,6,2023,0,0,0,0,0,0,11,19,2,1,0,0,0,0,0,0,0,19,52
6/14/2023,13,3,7,2023,1,2,0,0,2,0,5,101,1,2,0,0,0,0,0,0,0,23,137
6/14/2023,14,3,7,2023,0,0,0,0,0,0,17,506,1,3,2,2,0,0,0,0,0,23,554
6/14/2023,15,2,8,2023,0,0,0,2,0,0,30,34,3,1,0,0,0,0,0,0,0,2,72
6/14/2023,16,2,8,2023,5,0,0,0,0,0,18,50,2,0,0,0,0,0,0,0,0,15,90
6/14/2023,17,3,9,2023,7,0,0,0,0,0,15,147,0,5,0,0,0,0,0,0,0,21,195
6/14/2023,18,3,9,2023,0,0,0,0,3,0,67,40,0,3,1,1,0,0,1,0,0,2,118
6/28/2023,1,2,1,2023,0,0,0,0,0,0,36,44,3,4,0,0,0,0,0,0,0,0,87
6/28/2023,2,3,2,2023,1,0,0,1,0,0,22,166,3,5,3,2,0,0,0,0,0,3,206
6/28/2023,3,3,2,2023,1,0,0,2,0,0,7,95,2,5,2,1,0,0,0,0,0,0,115
6/28/2023,4,2,1,2023,1,0,0,0,0,0,50,67,3,2,0,0,0,0,0,0,0,0,123
6/28/2023,5,1,3,2023,0,0,0,0,0,14,13,92,1,2,0,0,0,0,0,0,0,1,123
6/28/2023,6,1,3,2023,1,0,0,0,0,0,34,80,0,10,0,0,0,0,0,0,0,0,125
6/28/2023,7,2,4,2023,0,0,0,0,0,0,3,22,5,2,0,1,0,0,0,0,0,0,33
6/28/2023,8,2,4,2023,2,0,0,0,0,0,19,62,0,10,0,1,0,0,0,0,0,0,94
6/28/2023,9,1,5,2023,2,0,0,4,0,0,30,623,5,10,0,0,0,0,0,0,0,0,674
6/28/2023,10,1,5,2023,1,0,0,7,0,0,13,129,8,4,0,0,0,0,0,0,0,0,162
6/28/2023,11,1,6,2023,4,0,0,1,0,0,11,113,3,11,1,0,0,0,0,0,0,0,144
6/28/2023,12,1,6,2023,4,0,0,0,0,0,51,107,3,21,1,0,0,0,0,0,0,14,201
6/28/2023,13,3,7,2023,4,0,0,2,0,0,17,262,2,3,1,1,0,0,0,0,0,0,292
6/28/2023,14,3,7,2023,1,0,0,0,0,0,12,143,0,7,0,0,0,0,0,0,0,0,163
6/28/2023,15,2,8,2023,0,0,0,0,0,0,45,98,2,7,0,1,0,0,0,0,0,0,153
6/28/2023,16,2,8,2023,3,0,0,10,0,1,14,336,4,3,0,0,0,0,0,0,0,0,371
6/28/2023,17,3,9,2023,1,0,3,10,0,0,18,181,0,5,2,0,0,0,0,0,0,0,220
6/28/2023,18,3,9,2023,1,0,0,0,0,0,39,124,6,12,0,2,0,0,1,0,0,13,198
7/12/2023,1,2,1,2023,0,0,0,0,0,0,8,43,3,1,0,1,0,0,0,0,0,0,56
7/12/2023,2,3,2,2023,0,0,0,1,0,0,55,111,2,24,13,7,0,0,0,0,0,6,219
